AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
DC Office of Risk Management,1761.57,2009-07-20
DC Office of Risk Management,71.85,2009-10-22
DC Office of Risk Management,473.89,2009-07-29
DC Office of Risk Management,949.46,2009-04-27
DC Office of Risk Management,786.75,2009-07-01
DC Office of Risk Management,2357.79,2009-07-18
DC Office of Risk Management,202.28,2009-09-22
DC Office of Risk Management,216.35,2009-08-05
DC Office of Risk Management,2292.33,2009-05-12
DC Office of Risk Management,12.7,2009-06-12
DC Office of Risk Management,1484.42,2009-06-16
DC Office of Risk Management,600.44,2010-08-18
DC Office of Risk Management,1637.61,2009-04-21
DC Office of Risk Management,-1528.04,2009-12-11
DC Office of Risk Management,752.58,2009-08-03
DC Office of Risk Management,1569.22,2009-04-22
DC Office of Risk Management,689.96,2009-11-16
DC Office of Risk Management,705.96,2009-08-12
DC Office of Risk Management,763.4,2009-05-10
DC Office of Risk Management,167.31,2009-08-31
DC Office of Risk Management,889.98,2009-04-19
DC Office of Risk Management,1381.47,2009-07-09
DC Office of Risk Management,-478.39,2009-06-09
DC Office of Risk Management,648.51,2009-07-09
DC Office of Risk Management,140.97,2009-03-30
DC Office of Risk Management,659.15,2009-06-01
DC Office of Risk Management,510.58,2009-07-30
DC Office of Risk Management,47.72,2009-01-05
DC Office of Risk Management,-324.43,2009-11-14
DC Office of Risk Management,976.17,2009-03-30
DC Office of Risk Management,-54.6,2009-10-16
DC Office of Risk Management,212.17,2009-10-30
DC Office of Risk Management,24.93,2009-09-23
DC Office of Risk Management,-251.31,2009-06-01
DC Office of Risk Management,707.56,2009-06-01
DC Office of Risk Management,851.49,2009-04-14
DC Office of Risk Management,1435.17,2009-10-23
DC Office of Risk Management,788.96,2009-03-12
DC Office of Risk Management,1192.44,2009-05-05
DC Office of Risk Management,84.34,2009-03-08
DC Office of Risk Management,1365.56,2008-09-11
DC Office of Risk Management,-40.27,2009-06-19
DC Office of Risk Management,96.38,2009-05-05
DC Office of Risk Management,2053.12,2009-08-11
DC Office of Risk Management,-12.44,2009-09-22
DC Office of Risk Management,605.05,2009-08-21
DC Office of Risk Management,1328.06,2009-07-18
DC Office of Risk Management,1008.48,2009-09-01
DC Office of Risk Management,328.91,2009-04-28
DC Office of Risk Management,492.3,2009-07-10
DC Office of Risk Management,1921.07,2009-05-05
DC Office of Risk Management,-1389.02,2009-12-09
DC Office of Risk Management,1884.61,2009-10-30
DC Office of Risk Management,636.57,2009-06-06
DC Office of Risk Management,1726.96,2009-08-12
DC Office of Risk Management,-256.18,2009-09-29
DC Office of Risk Management,393.29,2009-07-01
DC Office of Risk Management,522.53,2009-07-29
DC Office of Risk Management,-5.23,2009-05-11
DC Office of Risk Management,980.72,2009-06-03
DC Office of Risk Management,149.94,2009-03-27
DC Office of Risk Management,627.6,2009-08-04
DC Office of Risk Management,547.86,2009-07-06
DC Office of Risk Management,966.87,2009-09-14
DC Office of Risk Management,615.2,2009-10-13
DC Office of Risk Management,40.96,2009-08-19
DC Office of Risk Management,1298.6,2009-06-19
DC Office of Risk Management,1238.14,2009-05-15
DC Office of Risk Management,1244.92,2009-02-04
DC Office of Risk Management,2525.41,2009-05-23
DC Office of Risk Management,-661.17,2009-04-23
DC Office of Risk Management,719.12,2009-05-07
DC Office of Risk Management,1078.05,2009-07-02
DC Office of Risk Management,1483.95,2009-09-25
DC Office of Risk Management,-156.75,2009-06-15
DC Office of Risk Management,38.64,2009-08-06
DC Office of Risk Management,1233.9,2009-11-07
DC Office of Risk Management,731.27,2009-05-17
DC Office of Risk Management,145.77,2009-01-25
DC Office of Risk Management,445.63,2009-07-20
DC Office of Risk Management,495.13,2009-05-25
DC Office of Risk Management,892.63,2009-08-26
DC Office of Risk Management,-1679.43,2009-07-17
DC Office of Risk Management,590.27,2009-10-27
DC Office of Risk Management,732.37,2009-03-17
DC Office of Risk Management,1264.58,2009-11-08
DC Office of Risk Management,1462.42,2009-07-07
DC Office of Risk Management,-282.57,2009-07-30
DC Office of Risk Management,368.35,2009-10-03
DC Office of Risk Management,368.04,2009-08-18
DC Office of Risk Management,1151.75,2009-10-13
DC Office of Risk Management,1216.56,2009-07-09
DC Office of Risk Management,117.58,2008-12-12
DC Office of Risk Management,-348.7,2009-05-06
DC Office of Risk Management,-674.2,2009-06-22
DC Office of Risk Management,-774.25,2010-02-11
DC Office of Risk Management,739.25,2009-05-18
DC Office of Risk Management,1157.45,2009-11-14
DC Office of Risk Management,361.75,2009-12-03
DC Office of Risk Management,858.16,2009-09-27
DC Office of Risk Management,987.15,2009-09-16
DC Office of Risk Management,493.52,2009-03-13
DC Office of Risk Management,1148.0,2009-05-18
DC Office of Risk Management,-349.82,2009-09-23
DC Office of Risk Management,787.65,2009-04-07
DC Office of Risk Management,358.53,2009-12-16
DC Office of Risk Management,812.81,2009-04-13
DC Office of Risk Management,309.13,2009-08-16
DC Office of Risk Management,1647.27,2009-03-06
DC Office of Risk Management,2355.2,2009-04-29
DC Office of Risk Management,1139.68,2009-07-06
DC Office of Risk Management,1126.87,2009-06-18
DC Office of Risk Management,1439.75,2009-06-21
DC Office of Risk Management,888.81,2009-09-22
DC Office of Risk Management,1388.89,2009-08-14
DC Office of Risk Management,1778.48,2009-05-13
DC Office of Risk Management,-1421.5,2009-10-23
DC Office of Risk Management,-413.02,2009-08-21
DC Office of Risk Management,1510.13,2009-08-11
DC Office of Risk Management,3324.62,2009-09-20
DC Office of Risk Management,-767.05,2009-10-18
DC Office of Risk Management,1178.52,2009-07-13
DC Office of Risk Management,1460.12,2009-08-09
DC Office of Risk Management,1240.84,2009-04-15
DC Office of Risk Management,-594.16,2009-09-19
DC Office of Risk Management,-456.53,2009-07-28
DC Office of Risk Management,91.84,2009-06-01
DC Office of Risk Management,802.87,2009-09-29
DC Office of Risk Management,758.31,2009-05-26
DC Office of Risk Management,2277.69,2009-04-23
DC Office of Risk Management,976.45,2009-11-14
DC Office of Risk Management,-582.86,2009-07-26
DC Office of Risk Management,-424.27,2009-10-26
DC Office of Risk Management,1593.0,2009-10-14
DC Office of Risk Management,763.84,2009-10-23
DC Office of Risk Management,753.73,2009-06-30
DC Office of Risk Management,-675.75,2009-06-21
DC Office of Risk Management,371.25,2009-12-25
DC Office of Risk Management,1838.45,2010-03-10
DC Office of Risk Management,1415.2,2009-05-10
DC Office of Risk Management,1863.8,2009-02-27
DC Office of Risk Management,1625.1,2009-07-06
DC Office of Risk Management,1229.76,2009-09-03
DC Office of Risk Management,699.95,2009-08-25
DC Office of Risk Management,-314.79,2009-08-23
DC Office of Risk Management,685.93,2009-11-07
DC Office of Risk Management,817.8,2009-10-09
DC Office of Risk Management,1624.78,2009-03-31
DC Office of Risk Management,-27.23,2009-08-20
DC Office of Risk Management,-736.5,2009-05-02
DC Office of Risk Management,505.75,2009-11-05
DC Office of Risk Management,617.96,2009-10-31
DC Office of Risk Management,359.67,2009-09-21
DC Office of Risk Management,1847.39,2009-10-28
DC Office of Risk Management,-899.94,2009-07-26
DC Office of Risk Management,167.66,2009-02-07
DC Office of Risk Management,277.4,2009-05-31
DC Office of Risk Management,-14.51,2009-03-09
DC Office of Risk Management,439.39,2009-06-28
DC Office of Risk Management,947.84,2009-07-28
DC Office of Risk Management,1404.52,2009-02-26
DC Office of Risk Management,-20.05,2009-09-11
DC Office of Risk Management,843.19,2009-11-13
DC Office of Risk Management,251.57,2009-10-18
DC Office of Risk Management,724.59,2009-08-25
DC Office of Risk Management,857.55,2009-06-11
DC Office of Risk Management,213.86,2009-06-25
DC Office of Risk Management,936.99,2009-10-16
DC Office of Risk Management,1301.9,2009-08-11
DC Office of Risk Management,-1660.48,2009-12-24
DC Office of Risk Management,271.47,2009-08-21
DC Office of Risk Management,420.9,2009-06-05
DC Office of Risk Management,1245.08,2009-04-19
DC Office of Risk Management,1281.66,2009-06-18
DC Office of Risk Management,435.37,2009-04-02
DC Office of Risk Management,972.91,2009-05-06
DC Office of Risk Management,-1741.91,2009-07-25
DC Office of Risk Management,-154.36,2009-04-06
DC Office of Risk Management,-1180.82,2009-11-14
DC Office of Risk Management,332.12,2009-12-11
DC Office of Risk Management,-90.36,2009-08-10
DC Office of Risk Management,1267.89,2009-03-01
DC Office of Risk Management,213.67,2009-05-16
DC Office of Risk Management,45.15,2009-08-26
DC Office of Risk Management,1010.55,2009-02-11
DC Office of Risk Management,1526.16,2009-01-17
DC Office of Risk Management,1762.07,2009-04-15
DC Office of Risk Management,-170.51,2009-03-20
DC Office of Risk Management,19.07,2009-10-17
DC Office of Risk Management,153.04,2008-12-21
DC Office of Risk Management,755.33,2009-07-11
DC Office of Risk Management,2495.89,2009-10-11
DC Office of Risk Management,61.85,2009-06-06
DC Office of Risk Management,1265.74,2009-07-23
DC Office of Risk Management,-435.32,2008-10-12
DC Office of Risk Management,1718.56,2009-05-12
DC Office of Risk Management,1727.19,2009-11-19
DC Office of Risk Management,1179.99,2009-04-14
DC Office of Risk Management,117.94,2009-09-10
DC Office of Risk Management,-119.81,2009-07-11
DC Office of Risk Management,2611.62,2009-05-17
DC Office of Risk Management,-519.69,2009-07-30
DC Office of Risk Management,789.45,2009-08-27
DC Office of Risk Management,1286.6,2009-02-28
DC Office of Risk Management,1564.78,2009-05-10
DC Office of Risk Management,130.56,2009-05-10
DC Office of Risk Management,-644.82,2009-05-18
DC Office of Risk Management,916.87,2009-05-09
DC Office of Risk Management,-50.7,2009-03-05
DC Office of Risk Management,642.7,2009-07-07
DC Office of Risk Management,489.48,2009-02-21
DC Office of Risk Management,-649.45,2009-11-17
DC Office of Risk Management,591.97,2009-11-13
DC Office of Risk Management,-50.39,2009-11-11
DC Office of Risk Management,1417.1,2009-10-26
DC Office of Risk Management,-46.46,2009-04-04
DC Office of Risk Management,556.05,2009-05-31
DC Office of Risk Management,1869.64,2010-02-14
DC Office of Risk Management,384.88,2009-12-20
DC Office of Risk Management,823.62,2009-05-03
DC Office of Risk Management,757.54,2009-04-30
DC Office of Risk Management,1484.77,2009-06-13
DC Office of Risk Management,290.28,2009-04-16
DC Office of Risk Management,1948.79,2009-05-29
DC Office of Risk Management,1732.93,2008-08-21
DC Office of Risk Management,-748.42,2009-09-12
DC Office of Risk Management,286.68,2009-08-27
DC Office of Risk Management,1469.66,2009-03-13
DC Office of Risk Management,-434.67,2009-06-30
DC Office of Risk Management,1137.77,2009-03-14
DC Office of Risk Management,-616.49,2009-05-31
DC Office of Risk Management,1124.45,2009-08-09
DC Office of Risk Management,-393.83,2009-08-11
DC Office of Risk Management,695.13,2009-06-07
DC Office of Risk Management,-262.5,2009-08-11
DC Office of Risk Management,894.54,2010-01-17
DC Office of Risk Management,899.16,2009-05-03
DC Office of Risk Management,1055.79,2009-09-03
DC Office of Risk Management,1041.07,2009-03-23
DC Office of Risk Management,222.5,2009-08-08
DC Office of Risk Management,20.59,2009-08-27
DC Office of Risk Management,1782.59,2009-03-18
DC Office of Risk Management,1151.29,2009-02-21
DC Office of Risk Management,1796.04,2008-11-05
DC Office of Risk Management,-599.04,2009-09-05
DC Office of Risk Management,1821.27,2009-10-21
DC Office of Risk Management,420.02,2009-06-19
DC Office of Risk Management,-108.17,2009-09-14
DC Office of Risk Management,218.94,2009-01-08
DC Office of Risk Management,-648.94,2008-12-20
DC Office of Risk Management,-211.46,2009-07-19
DC Office of Risk Management,475.47,2010-02-09
DC Office of Risk Management,-328.17,2009-10-26
DC Office of Risk Management,-30.15,2009-05-09
DC Office of Risk Management,1022.95,2009-07-11
DC Office of Risk Management,-773.2,2009-02-19
DC Office of Risk Management,1127.2,2009-08-27
DC Office of Risk Management,-25.5,2009-03-23
DC Office of Risk Management,-160.2,2009-05-29
DC Office of Risk Management,1412.5,2009-10-08
DC Office of Risk Management,1177.53,2009-07-28
DC Office of Risk Management,347.15,2009-12-01
DC Office of Risk Management,4.73,2009-04-17
DC Office of Risk Management,1640.66,2009-02-15
DC Office of Risk Management,1189.02,2009-07-24
DC Office of Risk Management,684.85,2009-07-11
DC Office of Risk Management,-1773.6,2009-08-23
DC Office of Risk Management,1414.71,2009-06-14
DC Office of Risk Management,65.88,2009-01-08
DC Office of Risk Management,646.71,2009-04-22
DC Office of Risk Management,-747.3,2009-04-30
DC Office of Risk Management,458.92,2009-04-06
DC Office of Risk Management,635.53,2009-07-14
DC Office of Risk Management,2791.1,2009-05-29
DC Office of Risk Management,-300.46,2009-09-11
DC Office of Risk Management,471.94,2009-05-19
DC Office of Risk Management,353.41,2009-11-28
DC Office of Risk Management,1504.89,2009-08-06
DC Office of Risk Management,956.0,2009-07-01
DC Office of Risk Management,-530.62,2009-07-23
DC Office of Risk Management,1257.19,2009-11-08
DC Office of Risk Management,-1101.91,2009-09-29
DC Office of Risk Management,1420.52,2009-05-24
DC Office of Risk Management,636.87,2009-02-24
DC Office of Risk Management,-2.77,2009-08-11
DC Office of Risk Management,1084.08,2009-03-09
DC Office of Risk Management,-195.31,2009-06-10
DC Office of Risk Management,743.04,2009-06-01
DC Office of Risk Management,606.05,2009-03-17
DC Office of Risk Management,-1191.37,2009-05-27
DC Office of Risk Management,80.13,2009-12-14
DC Office of Risk Management,-545.61,2010-02-01
DC Office of Risk Management,155.29,2010-01-30
DC Office of Risk Management,1044.69,2009-12-25
DC Office of Risk Management,1181.84,2009-02-25
DC Office of Risk Management,-533.85,2009-09-08
DC Office of Risk Management,423.7,2009-12-10
DC Office of Risk Management,411.37,2008-12-14
DC Office of Risk Management,1692.55,2009-08-14
DC Office of Risk Management,-1323.55,2009-04-13
DC Office of Risk Management,1750.32,2009-06-18
DC Office of Risk Management,1721.0,2009-08-26
DC Office of Risk Management,874.42,2009-05-31
DC Office of Risk Management,290.13,2009-05-20
DC Office of Risk Management,-65.22,2009-07-18
DC Office of Risk Management,776.46,2009-04-14
DC Office of Risk Management,-219.86,2009-12-02
DC Office of Risk Management,1732.38,2009-11-03
DC Office of Risk Management,-504.43,2009-04-15
DC Office of Risk Management,157.51,2009-12-13
DC Office of Risk Management,157.66,2009-12-08
DC Office of Risk Management,-915.14,2009-02-19
DC Office of Risk Management,-42.82,2009-04-04
DC Office of Risk Management,1598.72,2009-06-21
DC Office of Risk Management,-882.88,2009-06-05
DC Office of Risk Management,-390.79,2009-07-01
DC Office of Risk Management,494.42,2009-07-09
DC Office of Risk Management,168.95,2009-03-04
DC Office of Risk Management,-366.62,2010-02-01
DC Office of Risk Management,-104.24,2009-10-09
DC Office of Risk Management,1458.36,2009-02-21
DC Office of Risk Management,373.67,2009-03-29
DC Office of Risk Management,1534.48,2009-02-23
DC Office of Risk Management,871.2,2009-05-23
DC Office of Risk Management,1311.86,2009-06-09
DC Office of Risk Management,-171.68,2009-05-12
DC Office of Risk Management,-2001.52,2009-11-04
DC Office of Risk Management,-596.31,2009-07-01
DC Office of Risk Management,1576.06,2009-09-04
DC Office of Risk Management,504.09,2009-05-19
DC Office of Risk Management,1267.83,2010-01-08
DC Office of Risk Management,888.76,2009-10-04
DC Office of Risk Management,983.13,2009-09-04
DC Office of Risk Management,788.0,2009-05-21
DC Office of Risk Management,1607.75,2009-10-23
DC Office of Risk Management,140.51,2009-12-05
DC Office of Risk Management,1155.58,2009-11-02
DC Office of Risk Management,1072.05,2009-05-14
DC Office of Risk Management,2068.12,2009-09-01
DC Office of Risk Management,-537.25,2009-07-21
DC Office of Risk Management,-210.99,2009-07-30
DC Office of Risk Management,291.96,2009-07-26
DC Office of Risk Management,-786.78,2009-04-04
DC Office of Risk Management,831.87,2010-02-26
DC Office of Risk Management,1129.94,2009-03-23
DC Office of Risk Management,-685.4,2009-02-17
DC Office of Risk Management,260.53,2009-07-23
DC Office of Risk Management,548.49,2009-07-11
DC Office of Risk Management,1634.5,2009-02-12
DC Office of Risk Management,847.75,2008-12-11
DC Office of Risk Management,447.81,2009-05-31
DC Office of Risk Management,978.83,2009-06-22
DC Office of Risk Management,1318.97,2009-05-22
DC Office of Risk Management,-529.86,2009-03-02
DC Office of Risk Management,2526.19,2009-11-07
DC Office of Risk Management,1040.11,2009-09-16
DC Office of Risk Management,1628.03,2009-07-15
DC Office of Risk Management,1113.28,2009-08-22
DC Office of Risk Management,603.39,2009-04-18
DC Office of Risk Management,543.57,2009-05-11
DC Office of Risk Management,1516.63,2009-08-06
DC Office of Risk Management,188.33,2009-08-16
DC Office of Risk Management,733.7,2009-01-24
DC Office of Risk Management,375.89,2009-09-10
DC Office of Risk Management,1526.8,2009-07-15
DC Office of Risk Management,-281.12,2009-09-21
DC Office of Risk Management,956.28,2010-01-28
DC Office of Risk Management,506.09,2009-10-02
DC Office of Risk Management,633.91,2009-05-08
DC Office of Risk Management,1487.62,2009-08-29
DC Office of Risk Management,600.94,2009-06-28
DC Office of Risk Management,564.5,2009-06-06
DC Office of Risk Management,948.84,2009-05-26
DC Office of Risk Management,-307.56,2009-08-04
DC Office of Risk Management,-212.87,2009-07-11
DC Office of Risk Management,150.7,2009-04-15
DC Office of Risk Management,625.66,2009-05-02
DC Office of Risk Management,2153.61,2009-05-19
DC Office of Risk Management,1427.17,2009-09-16
DC Office of Risk Management,566.12,2009-08-13
DC Office of Risk Management,1441.49,2009-08-14
DC Office of Risk Management,222.09,2008-09-14
DC Office of Risk Management,595.48,2009-04-21
DC Office of Risk Management,2460.04,2009-08-13
DC Office of Risk Management,1478.12,2009-06-10
DC Office of Risk Management,770.84,2009-10-18
DC Office of Risk Management,375.94,2009-04-07
DC Office of Risk Management,235.23,2009-07-17
DC Office of Risk Management,884.66,2008-09-29
DC Office of Risk Management,-604.53,2009-12-29
DC Office of Risk Management,842.1,2009-05-04
DC Office of Risk Management,554.31,2009-09-08
DC Office of Risk Management,469.28,2009-09-09
DC Office of Risk Management,941.2,2010-04-06
DC Office of Risk Management,704.63,2009-09-08
DC Office of Risk Management,164.6,2009-11-02
DC Office of Risk Management,1296.29,2009-07-02
DC Office of Risk Management,265.86,2008-12-11
DC Office of Risk Management,982.24,2009-01-13
DC Office of Risk Management,-456.22,2009-09-10
DC Office of Risk Management,425.2,2009-08-09
DC Office of Risk Management,31.39,2009-03-27
DC Office of Risk Management,374.5,2009-08-03
DC Office of Risk Management,937.12,2009-06-22
DC Office of Risk Management,1025.38,2009-06-30
DC Office of Risk Management,851.56,2008-10-22
DC Office of Risk Management,-750.82,2009-03-07
DC Office of Risk Management,2242.48,2009-08-28
DC Office of Risk Management,989.97,2009-01-13
DC Office of Risk Management,216.85,2009-02-18
DC Office of Risk Management,106.63,2009-04-21
DC Office of Risk Management,1146.74,2009-07-20
DC Office of Risk Management,-208.96,2008-11-19
DC Office of Risk Management,1273.3,2009-07-18
DC Office of Risk Management,-91.8,2009-04-22
DC Office of Risk Management,394.31,2009-10-05
DC Office of Risk Management,-106.06,2009-08-24
DC Office of Risk Management,553.66,2009-07-25
DC Office of Risk Management,1507.38,2009-06-28
DC Office of Risk Management,2073.8,2009-08-09
DC Office of Risk Management,684.43,2009-07-18
DC Office of Risk Management,1414.15,2009-05-04
DC Office of Risk Management,1557.71,2009-03-25
DC Office of Risk Management,171.06,2009-09-30
DC Office of Risk Management,1718.84,2009-10-09
DC Office of Risk Management,837.53,2009-12-03
DC Office of Risk Management,1709.03,2009-05-05
DC Office of Risk Management,90.68,2009-07-28
DC Office of Risk Management,1521.32,2009-06-26
DC Office of Risk Management,-513.52,2009-06-24
DC Office of Risk Management,1434.74,2009-06-27
DC Office of Risk Management,964.16,2009-11-08
DC Office of Risk Management,-141.64,2009-11-11
DC Office of Risk Management,712.57,2009-09-23
DC Office of Risk Management,900.62,2009-04-25
DC Office of Risk Management,849.23,2009-03-25
DC Office of Risk Management,-794.63,2009-11-02
DC Office of Risk Management,-60.84,2009-07-05
DC Office of Risk Management,1461.83,2009-07-23
DC Office of Risk Management,-1070.1,2009-08-07
DC Office of Risk Management,1810.61,2009-08-09
DC Office of Risk Management,316.74,2009-06-23
DC Office of Risk Management,652.47,2009-09-19
DC Office of Risk Management,350.37,2009-07-28
DC Office of Risk Management,946.19,2009-02-15
DC Office of Risk Management,639.13,2009-06-12
DC Office of Risk Management,-893.32,2009-06-07
DC Office of Risk Management,16.44,2009-08-08
DC Office of Risk Management,886.0,2009-05-02
DC Office of Risk Management,-172.61,2009-09-05
DC Office of Risk Management,304.14,2009-06-01
DC Office of Risk Management,1562.64,2009-11-22
DC Office of Risk Management,20.05,2009-03-23
DC Office of Risk Management,-1217.66,2009-06-18
DC Office of Risk Management,1703.8,2009-10-04
DC Office of Risk Management,505.59,2009-11-04
DC Office of Risk Management,556.03,2009-03-16
DC Office of Risk Management,1118.14,2009-11-07
DC Office of Risk Management,1832.49,2009-03-13
DC Office of Risk Management,821.6,2009-03-30
DC Office of Risk Management,274.54,2009-08-15
DC Office of Risk Management,1023.22,2009-09-27
DC Office of Risk Management,537.77,2009-09-07
DC Office of Risk Management,1474.45,2009-11-13
DC Office of Risk Management,1396.86,2009-03-11
DC Office of Risk Management,1181.71,2009-05-03
DC Office of Risk Management,-826.29,2009-10-21
DC Office of Risk Management,1368.36,2009-04-17
DC Office of Risk Management,1449.66,2009-04-04
DC Office of Risk Management,485.39,2009-08-22
DC Office of Risk Management,244.5,2009-09-25
DC Office of Risk Management,1589.01,2009-05-12
DC Office of Risk Management,-552.51,2009-10-06
DC Office of Risk Management,589.77,2009-07-14
DC Office of Risk Management,714.76,2009-09-27
DC Office of Risk Management,-304.81,2009-03-03
DC Office of Risk Management,1890.42,2009-04-18
DC Office of Risk Management,1423.66,2009-06-25
DC Office of Risk Management,2278.9,2009-04-07
DC Office of Risk Management,2096.35,2009-01-26
DC Office of Risk Management,394.13,2009-09-18
DC Office of Risk Management,-646.06,2008-09-29
DC Office of Risk Management,295.2,2009-07-24
DC Office of Risk Management,1091.7,2008-12-13
DC Office of Risk Management,658.01,2009-08-05
DC Office of Risk Management,501.96,2009-10-08
DC Office of Risk Management,484.06,2009-03-25
DC Office of Risk Management,-598.08,2009-03-11
DC Office of Risk Management,-451.54,2009-10-15
DC Office of Risk Management,415.42,2010-07-04
DC Office of Risk Management,92.64,2009-03-23
DC Office of Risk Management,1176.23,2009-11-18
DC Office of Risk Management,465.77,2009-08-05
DC Office of Risk Management,-412.37,2009-06-05
DC Office of Risk Management,1378.99,2009-12-19
DC Office of Risk Management,1055.28,2009-12-23
DC Office of Risk Management,220.62,2009-07-24
DC Office of Risk Management,643.92,2009-11-29
DC Office of Risk Management,-326.02,2009-11-05
DC Office of Risk Management,831.86,2009-05-02
DC Office of Risk Management,-334.12,2009-04-22
DC Office of Risk Management,116.73,2009-08-14
DC Office of Risk Management,-13.59,2009-08-24
DC Office of Risk Management,-261.81,2009-04-21
DC Office of Risk Management,-196.01,2009-07-04
DC Office of Risk Management,7.78,2009-06-27
DC Office of Risk Management,-486.69,2009-06-19
DC Office of Risk Management,1252.85,2009-06-01
DC Office of Risk Management,1594.29,2010-01-24
DC Office of Risk Management,1711.24,2009-12-18
DC Office of Risk Management,1629.74,2009-05-17
DC Office of Risk Management,138.55,2009-08-14
DC Office of Risk Management,1586.17,2009-10-05
DC Office of Risk Management,-1107.87,2009-09-27
DC Office of Risk Management,935.33,2009-07-21
DC Office of Risk Management,-505.99,2009-08-22
DC Office of Risk Management,612.99,2009-11-08
DC Office of Risk Management,798.81,2009-03-24
DC Office of Risk Management,-1294.63,2009-06-30
DC Office of Risk Management,208.49,2009-07-02
DC Office of Risk Management,47.74,2009-11-16
DC Office of Risk Management,616.29,2009-05-11
DC Office of Risk Management,1660.59,2009-09-01
DC Office of Risk Management,-108.85,2009-10-04
DC Office of Risk Management,71.2,2010-01-24
DC Office of Risk Management,-1539.34,2009-11-01
DC Office of Risk Management,1600.6,2010-01-23
DC Office of Risk Management,510.7,2010-01-29
DC Office of Risk Management,1747.54,2009-08-16
DC Office of Risk Management,-427.86,2009-12-23
DC Office of Risk Management,1254.53,2009-08-05
DC Office of Risk Management,281.66,2009-07-03
DC Office of Risk Management,177.8,2009-08-21
DC Office of Risk Management,-74.96,2009-10-04
DC Office of Risk Management,1528.99,2009-07-17
DC Office of Risk Management,572.77,2009-08-12
DC Office of Risk Management,210.73,2009-05-07
DC Office of Risk Management,1121.61,2009-07-05
DC Office of Risk Management,1231.28,2009-11-20
DC Office of Risk Management,753.16,2009-07-10
DC Office of Risk Management,1190.08,2009-08-26
DC Office of Risk Management,190.68,2009-06-30
DC Office of Risk Management,141.24,2009-10-03
DC Office of Risk Management,233.31,2009-04-06
DC Office of Risk Management,658.55,2009-03-30
DC Office of Risk Management,-958.22,2009-06-09
DC Office of Risk Management,2239.89,2009-08-31
DC Office of Risk Management,495.89,2009-07-20
DC Office of Risk Management,-851.94,2010-01-06
DC Office of Risk Management,-641.08,2009-12-01
DC Office of Risk Management,756.03,2009-03-07
DC Office of Risk Management,698.32,2009-06-05
DC Office of Risk Management,157.56,2009-11-21
DC Office of Risk Management,-1376.81,2009-09-15
DC Office of Risk Management,1174.32,2009-08-30
DC Office of Risk Management,764.22,2009-07-17
DC Office of Risk Management,1201.59,2009-05-23
DC Office of Risk Management,-344.37,2009-10-09
DC Office of Risk Management,839.2,2009-09-09
DC Office of Risk Management,2.74,2009-10-20
DC Office of Risk Management,474.61,2009-07-31
DC Office of Risk Management,-680.51,2009-10-01
DC Office of Risk Management,730.38,2009-04-25
DC Office of Risk Management,1460.05,2009-06-29
DC Office of Risk Management,227.84,2009-09-27
DC Office of Risk Management,-196.4,2009-04-20
DC Office of Risk Management,1231.77,2009-06-05
DC Office of Risk Management,1390.64,2009-06-10
DC Office of Risk Management,-499.58,2009-06-30
DC Office of Risk Management,931.41,2009-06-21
DC Office of Risk Management,-203.47,2009-05-04
DC Office of Risk Management,-214.75,2009-04-19
DC Office of Risk Management,915.48,2009-09-28
DC Office of Risk Management,294.41,2009-07-06
DC Office of Risk Management,-481.34,2009-06-18
DC Office of Risk Management,1141.69,2009-08-16
DC Office of Risk Management,-1283.8,2009-02-18
DC Office of Risk Management,1205.22,2009-08-16
DC Office of Risk Management,1976.12,2009-12-09
DC Office of Risk Management,623.6,2009-08-16
DC Office of Risk Management,422.37,2009-08-23
DC Office of Risk Management,378.33,2009-05-23
DC Office of Risk Management,806.77,2009-09-09
DC Office of Risk Management,883.21,2009-05-12
DC Office of Risk Management,337.61,2009-08-04
DC Office of Risk Management,1668.43,2009-08-02
DC Office of Risk Management,512.1,2009-10-14
DC Office of Risk Management,922.22,2009-03-28
DC Office of Risk Management,1893.29,2009-07-21
DC Office of Risk Management,-142.24,2009-04-05
DC Office of Risk Management,1805.86,2009-09-11
DC Office of Risk Management,938.85,2009-08-24
DC Office of Risk Management,621.75,2009-06-16
DC Office of Risk Management,905.04,2009-08-24
DC Office of Risk Management,2146.3,2009-08-19
DC Office of Risk Management,-202.31,2009-10-28
Office of Zoning,-267.18,2009-06-20
Office of Zoning,1359.73,2009-10-25
Office of Zoning,1332.62,2009-02-05
Office of Zoning,889.31,2009-06-11
Office of Zoning,641.19,2009-04-22
Office of Zoning,220.55,2009-08-23
Office of Zoning,3.76,2009-07-31
Office of Zoning,-516.35,2009-03-18
Office of Zoning,556.75,2009-05-19
Department on Disability Services,255.41,2009-10-24
Department on Disability Services,925.27,2009-06-12
Department on Disability Services,975.45,2010-04-01
Department on Disability Services,596.15,2009-04-06
Department on Disability Services,570.64,2009-06-05
Department on Disability Services,29.3,2009-06-12
Department on Disability Services,398.7,2009-09-29
Department on Disability Services,332.33,2009-03-17
Department on Disability Services,1112.19,2009-02-17
Department on Disability Services,813.44,2009-12-02
Department on Disability Services,846.09,2009-08-22
Department on Disability Services,778.58,2009-03-26
Department on Disability Services,621.64,2009-04-16
Department on Disability Services,716.65,2009-05-18
Department on Disability Services,292.78,2009-06-09
Department on Disability Services,339.96,2009-07-23
